ledger,phase_group,family_id,logical_run_id,scheduler_attempt_count,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,status,paper_role,canonical_run_dir,latest_checkpoint,latest_eval_step,notes,expected_trajectory_points,existing_trajectory_points
current_cifar_paper,O4,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000,1,cifar10,ddp_strict,1,terminal,100,500000,1,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_ddp_fullk_K100_seed1_500k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_ddp_fullk_K100_seed1_500k_20260409_132633/checkpoints/ckpt_step99999.pt,,Long-horizon DDP baseline,100,0
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h300000,1,cifar10,ddp_strict,1,terminal,100,300000,2,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed2_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed2_300k_20260407_172101/checkpoints/ckpt_step99999.pt,100000,Expand robustness for new mainline,60,0
current_cifar_paper,O4,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000,1,cifar10,ddp_strict,1,terminal,100,500000,2,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_ddp_fullk_K100_seed2_500k_20260412_143208,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_ddp_fullk_K100_seed2_500k_20260412_143208/checkpoints/ckpt_step99999.pt,,Long-horizon DDP baseline,100,0
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h300000,1,cifar10,ddp_strict,1,terminal,100,300000,3,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed3_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed3_300k_20260407_172101/checkpoints/ckpt_step99999.pt,100000,Expand robustness for new mainline,60,0
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed4:h300000,1,cifar10,ddp_strict,1,terminal,100,300000,4,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed4_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed4_300k_20260407_172101/checkpoints/ckpt_step99999.pt,100000,Expand robustness for new mainline,60,0
current_cifar_paper,O3,ddp_P1_terminal,current_cifar_paper:cifar10:ddp_P1_terminal:seed5:h300000,1,cifar10,ddp_strict,1,terminal,100,300000,5,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed5_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_ddp_fullk_K100_seed5_300k_20260407_172101/checkpoints/ckpt_step99999.pt,100000,Expand robustness for new mainline,60,0
current_cifar_paper,O3,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000,1,cifar10,strict_pipeline,2,equal,100,300000,2,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed2_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed2_300k_20260409_132633/checkpoints/ckpt_step99999.pt,100000,Lower-priority control expansion,60,0
current_cifar_paper,O3,pipe_P2_equal,current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000,1,cifar10,strict_pipeline,2,equal,100,300000,3,completed,control,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed3_300k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P2_uniform_K100_seed3_300k_20260409_132633/checkpoints/ckpt_step99999.pt,100000,Lower-priority control expansion,60,0
current_cifar_paper,O4,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed1:h500000,1,cifar10,strict_pipeline,4,equal,100,500000,1,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_uniform_K100_seed1_500k_20260409_132633,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_uniform_K100_seed1_500k_20260409_132633/checkpoints/ckpt_step99999.pt,,Long-horizon pipeline trajectory candidate,100,0
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed2:h300000,1,cifar10,strict_pipeline,4,equal,100,300000,2,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed2_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed2_300k_20260407_172101/checkpoints/ckpt_step99999.pt,100000,Seed expansion for current pipeline trajectory candidate,60,0
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed3:h300000,1,cifar10,strict_pipeline,4,equal,100,300000,3,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed3_300k_20260407_172101,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed3_300k_20260407_172101/checkpoints/ckpt_step99999.pt,100000,Seed expansion for current pipeline trajectory candidate,60,0
current_cifar_paper,O4,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed3:h500000,1,cifar10,strict_pipeline,4,equal,100,500000,3,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_uniform_K100_seed3_500k_20260412_143208,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_uniform_K100_seed3_500k_20260412_143208/checkpoints/ckpt_step99999.pt,,Long-horizon pipeline trajectory candidate,100,0
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed4:h300000,2,cifar10,strict_pipeline,4,equal,100,300000,4,completed,headline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed4_300k_resume_20260412_143159,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed4_300k_resume_20260412_143159/checkpoints/ckpt_step99999.pt,,Seed expansion for current pipeline trajectory candidate; deduped 2 execution attempts; 1 earlier failed/resume fragments excluded from logical count,60,0
