phase,scale_group,group,exp_id,story,train_mode,world_size,pipe_stages,stage_slices,K,steps,lr,step_size,noise_std,weight_mode,last2_beta,seed,num_nodes,ppn,batch_size,local_batch,save_every,vis_every,eval_images,queue,train_walltime,data_dir,submit,paper_role,notes,config_path,pbs_path,manifest_row_path,run_dir,pbs_output_log
M0,S16,long_k_multinode_sweep,S16_single_fullk_K400_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,single_fullk,1,1,400,400,20000,1e-4,0.0025,0.01,deep_only,0.01,1,1,1,512,512,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,single_control,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=single_full_k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_single_fullk_K400_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_single_fullk_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_single_fullk_K400_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_single_fullk_K400_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_ddp_fullk_K400_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,ddp_fullk,16,1,400,400,20000,1e-4,0.0025,0.01,deep_only,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,distributed_control,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=distributed_full_k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_ddp_fullk_K400_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_ddp_fullk_K400_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K400_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_pipe_P16_equal_K400_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,pipe_strict,16,16,25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25,400,20000,1e-4,0.0025,0.01,uniform,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,pipeline_main,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=strict_pipeline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_pipe_P16_equal_K400_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_pipe_P16_equal_K400_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K400_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K400_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_single_fullk_K800_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,single_fullk,1,1,800,800,20000,1e-4,0.00125,0.01,deep_only,0.01,1,1,1,512,512,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,single_control,"original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; high-batch single-GPU stress test, likely needs resume; family=single_full_k",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_single_fullk_K800_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_single_fullk_K800_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_single_fullk_K800_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_single_fullk_K800_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_ddp_fullk_K800_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,ddp_fullk,16,1,800,800,20000,1e-4,0.00125,0.01,deep_only,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,distributed_control,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=distributed_full_k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_ddp_fullk_K800_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_ddp_fullk_K800_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K800_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_pipe_P16_equal_K800_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,pipe_strict,16,16,50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50,800,20000,1e-4,0.00125,0.01,uniform,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,pipeline_main,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=strict_pipeline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_pipe_P16_equal_K800_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K800_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_pipe_P16_equal_K800_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K800_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K800_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_single_fullk_K1600_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,single_fullk,1,1,1600,1600,20000,1e-4,0.000625,0.01,deep_only,0.01,1,1,1,512,512,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,single_control,"original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; high-batch single-GPU stress test, likely needs resume; family=single_full_k",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_single_fullk_K1600_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_single_fullk_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_single_fullk_K1600_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_single_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_single_fullk_K1600_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_ddp_fullk_K1600_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,ddp_fullk,16,1,1600,1600,20000,1e-4,0.000625,0.01,deep_only,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,distributed_control,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=distributed_full_k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_ddp_fullk_K1600_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_ddp_fullk_K1600_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_ddp_fullk_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_ddp_fullk_K1600_b512_s20k_seed1.pbs.out
M0,S16,long_k_multinode_sweep,S16_pipe_P16_equal_K1600_b512_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,pipe_strict,16,16,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,1600,20000,1e-4,0.000625,0.01,uniform,0.01,1,4,4,512,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,pipeline_main,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=strict_pipeline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S16/S16_pipe_P16_equal_K1600_b512_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S16_pipe_P16_equal_K1600_b512_s20k_seed1.pbs.out
M0,S32,long_k_multinode_sweep,S32_single_fullk_K400_b1024_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,single_fullk,1,1,400,400,20000,1e-4,0.0025,0.01,deep_only,0.01,1,1,1,1024,1024,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,single_control,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=single_full_k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S32_single_fullk_K400_b1024_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_single_fullk_K400_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S32_single_fullk_K400_b1024_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_single_fullk_K400_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_single_fullk_K400_b1024_s20k_seed1.pbs.out
M0,S32,long_k_multinode_sweep,S32_ddp_fullk_K400_b1024_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,ddp_fullk,32,1,400,400,20000,1e-4,0.0025,0.01,deep_only,0.01,1,8,4,1024,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,distributed_control,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=distributed_full_k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S32_ddp_fullk_K400_b1024_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_ddp_fullk_K400_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S32_ddp_fullk_K400_b1024_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_ddp_fullk_K400_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_ddp_fullk_K400_b1024_s20k_seed1.pbs.out
M0,S32,long_k_multinode_sweep,S32_pipe_P32_equal_K400_b1024_s20k_seed1,original CIFAR long-K scaling for single/DDP/pipeline; tests K=400/800/1600 and 16/32-GPU multi-node scaling,pipe_strict,32,32,13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12,400,20000,1e-4,0.0025,0.01,uniform,0.01,1,8,4,1024,32,5000,5000,5000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,yes,pipeline_main,original CIFAR model/backbone; completion-aware objective unchanged; K-sweep screen for multi-node scaling; family=strict_pipeline,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/pbs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/configs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/runs/M0/S32/S32_pipe_P32_equal_K400_b1024_s20k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_multinode_sweep/logs/S32_pipe_P32_equal_K400_b1024_s20k_seed1.pbs.out
