phase,group,exp_id,benchmark,model_family,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,noise_std,weight_mode,last2_beta,seed,num_nodes,ppn,batch_size,save_every,vis_every,eval_images,queue,train_walltime,data_dir,config,clamp_x,skip_optimizer_until_full_diagonal,grad_clip_norm,submit,notes
phase0_smoke,imagenet32_drl,imagenet32_drl_ddp_k100_s5k_seed1,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,5000,5e-5,0.005,0.005,deep_only,0.01,1,1,4,128,5000,5000,50000,preemptable,04:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_smoke.yaml,true,false,,no,"Phase 0 smoke: DDP full-K baseline, labels loaded but ignored by DRL backbone."
phase0_smoke,imagenet32_drl,imagenet32_drl_pipe_p4_equal_k100_s5k_seed1,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,pipe_strict,4,4,100,5000,5e-5,0.005,0.005,uniform,0.01,1,1,4,128,5000,5000,50000,preemptable,04:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_pipeline_p4_equal_smoke.yaml,true,true,,no,Phase 0 smoke: strict pipeline P4 equal with DRL backbone.
phase1_early,imagenet32_drl,imagenet32_drl_ddp_k100_s150k_seed1,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,150000,5e-5,0.005,0.005,deep_only,0.01,1,1,4,128,5000,5000,50000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_k100.yaml,true,false,,no,
phase2_300k,imagenet32_drl,imagenet32_drl_ddp_k100_s300k_seed1,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,300000,5e-5,0.005,0.005,deep_only,0.01,1,1,4,128,5000,5000,50000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_k100.yaml,true,false,,no,
phase2_300k,imagenet32_drl,imagenet32_drl_ddp_k100_s300k_seed2,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,300000,5e-5,0.005,0.005,deep_only,0.01,2,1,4,128,5000,5000,50000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_k100.yaml,true,false,,no,
phase2_300k,imagenet32_drl,imagenet32_drl_ddp_k100_s300k_seed3,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,300000,5e-5,0.005,0.005,deep_only,0.01,3,1,4,128,5000,5000,50000,preemptable,72:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_k100.yaml,true,false,,no,
phase3_500k,imagenet32_drl,imagenet32_drl_ddp_k100_s500k_seed1,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,500000,5e-5,0.005,0.005,deep_only,0.01,1,1,4,128,5000,5000,50000,preemptable,96:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_k100.yaml,true,false,,no,
phase3_500k,imagenet32_drl,imagenet32_drl_ddp_k100_s500k_seed2,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,500000,5e-5,0.005,0.005,deep_only,0.01,2,1,4,128,5000,5000,50000,preemptable,96:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_k100.yaml,true,false,,no,
phase3_500k,imagenet32_drl,imagenet32_drl_ddp_k100_s500k_seed3,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,ddp_fullk,4,1,100,500000,5e-5,0.005,0.005,deep_only,0.01,3,1,4,128,5000,5000,50000,preemptable,96:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_ddp_k100.yaml,true,false,,no,
phase1_early,imagenet32_drl,imagenet32_drl_pipe_p4_equal_k100_s150k_seed1,imagenet32,drl_resnet_energy,DRL-style ResNet backbone with existing completion-aware EBM objective,pipe_strict,4,4,100,150000,5e-5,0.005,0.005,uniform,0.01,1,1,4,128,5000,5000,50000,preemptable,36:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_pipeline_p4_equal_k100.yaml,true,true,,no,
