registry_id,source_table,experiment_package,benchmark,conditioned,story_bucket,include_in_current_story,exp_id,group,phase,story,train_mode,execution_semantics,system_role,objective_family,world_size,pipe_stages,seed,K,steps,lr,step_size,weight_mode,last2_beta,num_nodes,ppn,data_dir,run_dir,eval_dir,trajectory_dir,source_status,registry_status,final_fid,best_fid,best_step,final_step,available_points,top1_conditional_acc,per_class_avg_acc,pbs_job_id,local_run,config_signature,config_hash,git_commit_recorded,identity_note
imagenet32_phasea:imagenet32_ddp_strict_k100_s1k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_ddp_strict_k100_s1k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,ddp_fullk,ddp_strict,baseline_control,conditional_smoke,,1,1,100,1000,,,uniform,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_ddp_strict_k100_s1k_20260403_021545,,,F:0,completed,,,,1000,,,,6986200.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|ddp_fullk||1|1|100|1000|||uniform||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,5c5fad3873e8,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_ddp_strict_k100_s20k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_ddp_strict_k100_s20k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,ddp_fullk,ddp_strict,baseline_control,conditional_smoke,,1,1,100,20000,,,uniform,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_ddp_strict_k100_s20k_20260403_021545,,,F:0,completed,,,,20000,,,,6986206.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|ddp_fullk||1|1|100|20000|||uniform||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,8a950cd5055f,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_ddp_strict_k100_s5k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_ddp_strict_k100_s5k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,ddp_fullk,ddp_strict,baseline_control,conditional_smoke,,1,1,100,5000,,,uniform,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_ddp_strict_k100_s5k_20260403_021545,,,F:0,completed,,,,5000,,,,6986203.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|ddp_fullk||1|1|100|5000|||uniform||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,e2124f3ed4dc,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_pipeline_strict_p4_k100_s1k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_pipeline_strict_p4_k100_s1k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,pipe_strict,strict_pipeline,pipeline_realization,conditional_smoke,,4,1,100,1000,,,deep_only,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_pipeline_strict_p4_k100_s1k_20260403_021545,,,F:0,completed,,,,1000,,,,6986201.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|pipe_strict||4|1|100|1000|||deep_only||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,5dcb3e952e91,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_pipeline_strict_p4_k100_s20k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_pipeline_strict_p4_k100_s20k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,pipe_strict,strict_pipeline,pipeline_realization,conditional_smoke,,4,1,100,20000,,,deep_only,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_pipeline_strict_p4_k100_s20k_20260403_021545,,,F:0,completed,,,,20000,,,,6986207.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|pipe_strict||4|1|100|20000|||deep_only||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,c120e1915189,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_pipeline_strict_p4_k100_s5k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_pipeline_strict_p4_k100_s5k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,pipe_strict,strict_pipeline,pipeline_realization,conditional_smoke,,4,1,100,5000,,,deep_only,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_pipeline_strict_p4_k100_s5k_20260403_021545,,,F:0,completed,,,,5000,,,,6986204.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|pipe_strict||4|1|100|5000|||deep_only||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,e4610678fd2c,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_single_strict_k100_s1k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_single_strict_k100_s1k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,single_fullk,single_strict,baseline_control,conditional_smoke,,1,1,100,1000,,,uniform,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_single_strict_k100_s1k_20260403_021545,,,F:0,completed,,,,1000,,,,6986199.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|single_fullk||1|1|100|1000|||uniform||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,b78de766a6be,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_single_strict_k100_s20k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_single_strict_k100_s20k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,single_fullk,single_strict,baseline_control,conditional_smoke,,1,1,100,20000,,,uniform,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_single_strict_k100_s20k_20260403_021545,,,F:0,completed,,,,20000,,,,6986205.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|single_fullk||1|1|100|20000|||uniform||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,97c1b2ae4d00,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
imagenet32_phasea:imagenet32_single_strict_k100_s5k,imagenet32_phasea_current,imagenet32_phasea,imagenet32,yes,conditional_phasea_smoke,yes,imagenet32_single_strict_k100_s5k,PhaseA,PhaseA,ImageNet-32 conditional smoke / stability validation,single_fullk,single_strict,baseline_control,conditional_smoke,,1,1,100,5000,,,uniform,,,,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_phasea/PhaseA/imagenet32_single_strict_k100_s5k_20260403_021545,,,F:0,completed,,,,5000,,,,6986202.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,imagenet32|yes|single_fullk||1|1|100|5000|||uniform||/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32|conditional_phasea_smoke,56c028685be2,unavailable,"Conditional ImageNet-32 smoke row; use for infrastructure validation, not for main quantitative claims."
mainline_500k:ddp_fullk_K100_seed1_500k,ablation_500k_summary,mainline_500k,cifar10,no,legacy_long_horizon,context_only,ddp_fullk_K100_seed1_500k,P500K,P500K,500k mainline followup,ddp_fullk,ddp_strict,baseline_control,strict_baseline,4,0,1,100,500000,1e-4,1.0,uniform,0.01,,,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed1_500k_resume_20260401_152616,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_500k/P500K/ddp_fullk_K100_seed1_500k_resume_20260401_152616/eval,,done,completed,64.61510648175954,,,500000,,,,6983851.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,no,cifar10|no|ddp_fullk|4|0|1|100|500000|1e-4|1.0|uniform|0.01|/eagle/lc-mpi/Zhiqing/ebm/data/cifar10|legacy_long_horizon,bbcd0b861b6d,unavailable,Registry row reconstructed from historical summary; per-run git commit was not recorded.
