submit,group,exp_id,story,hypothesis,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,notes,train_walltime,eval_walltime,queue,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,eval_seed,reference_run_dir,reference_eval_dir,reference_metrics_json,reference_stats_json,reference_walltime_seconds,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
0,P2A0,single_fullk_K100_seed1_300k,Phase2 300k anchors,Reference single strict baseline anchor,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,anchor_only,12:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055/metrics_compare.json,,27582,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,,
0,P2A0,ddp_fullk_K100_seed1_300k,Phase2 300k anchors,Reference ddp strict baseline anchor,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,anchor_only,12:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval/metrics_compare_20260325_055841.json,,30394,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval,,
0,P2A0,pipe_strict_P4_K100_beta001_lr1e4_seed1_300k,Phase2 300k anchors,Reference pipeline strict anchor,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,anchor_only,06:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval/metrics_compare_step299999_20260325_011109.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval/last1k_stats.json,13139,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval,,
1,M1,ddp_fullk_K100_seed2_300k,M1 reproducibility,DDP strict 300k should be reproducible across seed,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,2,1,4,5000,must_run_seed2_baseline,12:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,2,,,,,,2026-03-29T17:04:37Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed2_300k_20260329_170437/eval,6980119.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,M1,pipe_strict_P4_K100_beta001_lr1e4_seed2_300k,M1 reproducibility,Pipeline strict 300k should be reproducible across seed,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,2,1,4,5000,must_run_seed2_pipeline,06:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,2,,,,,,2026-03-29T17:04:37Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed2_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed2_300k_20260329_170437/eval,6980120.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,M1,ddp_fullk_K100_seed3_300k,M1 reproducibility,DDP strict 300k should be reproducible across a third seed,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,3,1,4,5000,must_run_seed3_baseline,12:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,3,,,,,,2026-03-31T02:43:24Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/ddp_fullk_K100_seed3_300k_20260331_024324/eval,6981547.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,M1,pipe_strict_P4_K100_beta001_lr1e4_seed3_300k,M1 reproducibility,Pipeline strict 300k should be reproducible across a third seed,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,3,1,4,5000,must_run_seed3_pipeline,06:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,3,,,,,,2026-03-31T02:43:24Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed3_300k_20260331_024324,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M1/pipe_strict_P4_K100_beta001_lr1e4_seed3_300k_20260331_024324/eval,6981548.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,M2,ddp_fullk_K400_seed1_300k,M2 high_K control,High K baseline tests whether gains come only from shallow chains,ddp_fullk,4,0,400,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,must_run_highK_baseline,48:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T17:04:37Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/ddp_fullk_K400_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/ddp_fullk_K400_seed1_300k_20260329_170437/eval,6980121.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,M2,pipe_strict_P4_K400_beta001_lr1e4_seed1_300k,M2 high_K control,High K pipeline tests whether the method remains strong without shallow-slice shortcut,pipe_strict,4,4,400,300000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,must_run_highK_pipeline_slice100,24:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T17:04:37Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/M2/pipe_strict_P4_K400_beta001_lr1e4_seed1_300k_20260329_170437/eval,6980122.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
1,S1,single_pipe_emul_P4_K100_deep_seed1_300k,S1 single_gpu mechanism,Single GPU emulation should isolate deep-only stage semantics without distributed effects,single_pipe_emul,1,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,secondary_single_pipe_deep_only,16:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T17:04:37Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_deep_seed1_300k_20260329_170437,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_phase2/S1/single_pipe_emul_P4_K100_deep_seed1_300k_20260329_170437/eval,6980123.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
