phase,group,exp_id,benchmark,model_family,story,train_mode,world_size,pipe_stages,K,steps,lr,lr_warmup_steps,step_size,noise_std,sampler_prime,sampler_temperature,energy_loss_scale,weight_mode,last2_beta,seed,num_nodes,ppn,batch_size,save_every,vis_every,eval_images,queue,train_walltime,data_dir,config,clamp_x,skip_optimizer_until_full_diagonal,max_grad_norm,grad_clip_norm,diagnostic_first_steps,diagnostic_log_every,crash_abs_energy,crash_max_abs_chain_unclamped,crash_grad_norm,soft_abs_energy,soft_grad_norm,hard_grad_norm,clip_active_fraction,soft_guard_stop,submit,notes
A_ddp_reference,imagenet32_drl_stability,imagenet32_drl_stability_A_ddp_moderate_s500,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,ddp_fullk,4,1,100,500,5e-5,0,0.005,0.005,0.0,1.0,1.0,deep_only,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp.yaml,true,false,0.0,,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,no,DDP full-K reference; clamp_x enabled.
B_pipeline_moderate,imagenet32_drl_stability,imagenet32_drl_stability_B_pipe_p4_equal_moderate_s500,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,pipe_strict,4,4,100,500,5e-5,0,0.005,0.005,0.0,1.0,1.0,uniform,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_pipe_p4_equal_moderate.yaml,true,true,0.0,,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,no,Pipeline P4 equal moderate restart.
C_pipeline_conservative,imagenet32_drl_stability,imagenet32_drl_stability_C_pipe_p4_equal_conservative_s500,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,pipe_strict,4,4,100,500,2.5e-5,0,0.002,0.005,0.0,1.0,1.0,uniform,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_pipe_p4_equal_conservative.yaml,true,true,0.0,,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,no,Pipeline P4 equal conservative restart.
D_deepest_control,imagenet32_drl_stability,imagenet32_drl_stability_D_pipe_p4_deepest_moderate_s500,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,pipe_strict,4,4,100,500,5e-5,0,0.005,0.005,0.0,1.0,1.0,deep_only,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_pipe_p4_deep_moderate.yaml,true,true,0.0,,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,no,Deepest-only control to isolate equal-weight shallow-stage instability.
E_safest_fallback,imagenet32_drl_stability,imagenet32_drl_stability_E_pipe_p4_equal_safest_s500,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,pipe_strict,4,4,100,500,1e-5,0,0.001,0.002,0.0,1.0,1.0,uniform,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_pipe_p4_equal_safest.yaml,true,true,0.0,10.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,no,Safest fallback; only path with explicit gradient clipping.
S1_prime_calibration,imagenet32_drl_stability,imagenet32_drl_s1_ddp_prime10_scale1_s2k,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,ddp_fullk,4,1,100,2000,1e-7,10000,0.0005,0.0005,10,1.0,1.0,deep_only,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_port_sanity_ddp_2k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,yes,DDP-only prime calibration; no recovery likelihood; very weak sampler drift.
S1_prime_calibration,imagenet32_drl_stability,imagenet32_drl_s1_ddp_prime50_scale1_s2k,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,ddp_fullk,4,1,100,2000,1e-7,10000,0.0005,0.0005,50,1.0,1.0,deep_only,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_port_sanity_ddp_2k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,yes,DDP-only prime calibration; no recovery likelihood.
S1_prime_calibration,imagenet32_drl_stability,imagenet32_drl_s1_ddp_prime100_scale1_s2k,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,ddp_fullk,4,1,100,2000,1e-7,10000,0.0005,0.0005,100,1.0,1.0,deep_only,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_port_sanity_ddp_2k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,yes,DDP-only prime calibration; no recovery likelihood.
S1_prime_calibration,imagenet32_drl_stability,imagenet32_drl_s1_ddp_prime500_scale1_s2k,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,ddp_fullk,4,1,100,2000,1e-7,10000,0.0005,0.0005,500,1.0,1.0,deep_only,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_port_sanity_ddp_2k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,yes,DDP-only prime calibration; closest to but below legacy implied prime.
S1_prime_calibration,imagenet32_drl_stability,imagenet32_drl_s1_ddp_prime500_scale01_s2k,imagenet32,drl_resnet_energy,stability-first restart for DRL backbone with the existing completion-aware objective,ddp_fullk,4,1,100,2000,1e-7,10000,0.0005,0.0005,500,1.0,0.1,deep_only,0.01,1,1,4,128,500,500,5000,preemptable,02:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_port_sanity_ddp_2k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,false,yes,DDP-only combined sampler prime and loss-scale calibration.
