phase,group,exp_id,story,benchmark,microbench_mode,world_size,num_nodes,ppn,pipe_stages,slice_steps,K,steps,warmup_steps,batch_size,local_batch,lr,step_size,noise_std,langevin_sign,seed,queue,walltime,submit,paper_role,uses_drl_backbone,uses_imagenet32,notes,config_path,pbs_path,manifest_row_path,run_dir,pbs_output_log
A1,long_k_overhead_attribution,A1_single_global_fullstep_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,single_full_step,1,1,1,1,400,400,3000,100,256,256,1e-4,0.0025,0.01,1.0,1,preemptable,04:00:00,yes,single_global_fullk_reference,false,false,"One GPU, full synthetic update, global batch 256; matches single full-K batch.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_single_global_fullstep_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_single_global_fullstep_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_single_global_fullstep_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_single_global_fullstep_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_single_global_fullstep_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_single_local_fullstep_K400_b32_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,single_full_step,1,1,1,1,400,400,3000,100,32,32,1e-4,0.0025,0.01,1.0,1,preemptable,04:00:00,yes,single_local_batch_reference,false,false,"One GPU, local batch 32; matches per-rank local batch of 8-GPU batch256 DDP.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_single_local_fullstep_K400_b32_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_single_local_fullstep_K400_b32_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_single_local_fullstep_K400_b32_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_single_local_fullstep_K400_b32_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_single_local_fullstep_K400_b32_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_independent_fullstep_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,independent_full_step,8,2,4,1,400,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,04:00:00,yes,no_ddp_multigpu_reference,false,false,"Eight independent processes, local batch 32, full K sampling and local optimizer, no DDP all-reduce.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_independent_fullstep_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_independent_fullstep_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_independent_fullstep_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_independent_fullstep_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_independent_fullstep_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_independent_sampling_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,independent_sampling_only,8,2,4,1,400,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,04:00:00,yes,sampling_no_sync_reference,false,false,"Eight independent processes, local batch 32, K-step sampling only, no per-step synchronization.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_independent_sampling_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_independent_sampling_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_independent_sampling_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_independent_sampling_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_independent_sampling_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_sampling_barrier_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,sampling_only_barrier,8,2,4,1,400,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,04:00:00,yes,sampling_sync_reference,false,false,Distributed K-step sampling only plus a per-step barrier to expose straggler/synchronization cost.,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_sampling_barrier_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_sampling_barrier_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_sampling_barrier_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_sampling_barrier_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_sampling_barrier_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_ddp_train_only_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,ddp_train_only,8,2,4,1,400,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,02:00:00,yes,ordinary_ddp_allreduce_reference,false,false,"DDP forward/backward/optimizer only, no Langevin sampler.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_ddp_train_only_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_ddp_train_only_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_ddp_train_only_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_ddp_train_only_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_ddp_train_only_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_ddp_fullstep_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,ddp_full_step,8,2,4,1,400,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,04:00:00,yes,synthetic_ddp_fullk_reference,false,false,"Synthetic DDP full update: K-step sampling plus DDP train update, no dataloader/replay.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_ddp_fullstep_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_ddp_fullstep_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_ddp_fullstep_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_ddp_fullstep_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_ddp_fullstep_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,pipeline_stage_nocomm,8,2,4,8,50,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,02:00:00,yes,pipeline_stage_sampling_reference,false,false,"Each stage runs K/P=50 sampling steps, no ring handoff and no train update.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_pipeline_stage_nocomm_P8_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,pipeline_stage_ring,8,2,4,8,50,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,02:00:00,yes,pipeline_ring_comm_reference,false,false,Each stage runs K/P=50 sampling steps plus image-state ring handoff.,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_pipeline_stage_ring_P8_K400_b256_s3k_seed1.pbs.out
A1,long_k_overhead_attribution,A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1,"K400 overhead attribution: separate sampling critical path, local-batch utilization, DDP sync, and pipeline ring costs",cifar10,pipeline_full_step_ring,8,2,4,8,50,400,3000,100,256,32,1e-4,0.0025,0.01,1.0,1,preemptable,04:00:00,yes,synthetic_pipeline_fullstep_reference,false,false,"Synthetic pipeline step: K/P sampling, ring handoff, and DDP train update.",/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1.yaml,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/pbs/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1.pbs,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/configs/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1.manifest_row.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/runs/A1/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_long_k_overhead_attribution/logs/A1_pipeline_fullstep_ring_P8_K400_b256_s3k_seed1.pbs.out
