phase,group,exp_id,benchmark,model_family,story,train_mode,world_size,pipe_stages,K,steps,lr,lr_warmup_steps,step_size,noise_std,sampler_prime,sampler_temperature,energy_loss_scale,weight_mode,last2_beta,seed,num_nodes,ppn,batch_size,save_every,vis_every,eval_images,queue,train_walltime,data_dir,config,clamp_x,skip_optimizer_until_full_diagonal,max_grad_norm,grad_clip_norm,diagnostic_first_steps,diagnostic_log_every,crash_abs_energy,crash_max_abs_chain_unclamped,crash_grad_norm,soft_abs_energy,soft_grad_norm,hard_grad_norm,clip_active_fraction,soft_guard_stop,submit,notes,submitted_at,train_run_dir,train_job_id,payload_path
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,1.0,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory.,2026-05-26T16:38:52Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k_20260526_163852,7172037.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,0.1,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory.,2026-05-26T16:38:52Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_20260526_163852,7172038.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,0.1,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint.,2026-05-26T18:55:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555,7172275.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,1.0,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint.,2026-05-26T18:55:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k_retry1_20260526_185555,7172276.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k_retry1_20260526_185555.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,0.1,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint. Resume retry attempt 2 from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt after job 7172275 ended at step 1290 without crash guard.,2026-05-26T21:00:54Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry2_20260526_210054,7172414.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry2_20260526_210054.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,1.0,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint. Fresh retry attempt 2 after job 7172276 ended at step 274 without crash guard and without checkpoint.,2026-05-26T21:18:46Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k_retry2_20260526_211846,7172433.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k_retry2_20260526_211846.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,0.1,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint. Resume retry attempt 2 from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt after job 7172275 ended at step 1290 without crash guard. Auto watcher resume attempt 3 at 2026-05-26T22:13:08Z from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt.,2026-05-26T22:13:08Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_auto3_20260526_221308,7172491.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_auto3_20260526_221308.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,0.1,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint. Resume retry attempt 2 from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt after job 7172275 ended at step 1290 without crash guard. Auto watcher resume attempt 3 at 2026-05-26T22:13:08Z from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt. Auto watcher resume attempt 4 at 2026-05-26T23:43:10Z from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt.,2026-05-26T23:43:10Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_auto4_20260526_234310,7172584.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_auto4_20260526_234310.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,1.0,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint. Fresh retry attempt 2 after job 7172276 ended at step 274 without crash guard and without checkpoint. Auto watcher fresh attempt 3 at 2026-05-26T23:43:10Z.,2026-05-26T23:43:10Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k_auto3_20260526_234310,7172585.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale1_lr5e8_s20k_auto3_20260526_234310.json
S2_20k_gate,imagenet32_drl_stability,imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k,imagenet32,drl_resnet_energy,20k DRL prime gate with existing completion-aware EBM objective; no recovery likelihood,ddp_fullk,4,1,100,20000,5e-8,10000,0.0005,0.0005,500,1.0,0.1,deep_only,0.01,1,1,4,128,1000,5000,5000,preemptable,24:00:00,/eagle/lc-mpi/Zhiqing/polaris_ebm/data/imagenet32,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/configs/imagenet32_drl_stability_ddp_10k.yaml,true,false,0.0,1.0,200,50,1000.0,2.5,10000.0,10.0,100.0,500.0,0.25,1,yes,20k gate after 2k prime calibration; tests constant-base-LR stability and non-degenerate energy trajectory. Retry attempt 1; previous attempt stopped at step 192 without crash guard and before first checkpoint. Resume retry attempt 2 from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt after job 7172275 ended at step 1290 without crash guard. Auto watcher resume attempt 3 at 2026-05-26T22:13:08Z from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt. Auto watcher resume attempt 4 at 2026-05-26T23:43:10Z from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt. Auto watcher resume attempt 5 at 2026-05-27T00:09:37Z from /eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_retry1_20260526_185555/checkpoints/ckpt_step999.pt.,2026-05-27T00:09:37Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_imagenet32_drl_prime/S2_20k_gate/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_auto5_20260527_000937,7172615.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,/lus/eagle/projects/lc-mpi/Zhiqing/polaris_ebm/experiments/_submission_payloads/imagenet32_drl_prime20k/imagenet32_drl_s2_ddp_prime500_scale01_lr5e8_s20k_auto5_20260527_000937.json
