phase,group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,submit,queue,train_walltime,eval_walltime,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,paired_key,target_role,budget_basis,legacy_context,notes,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
O1,O1,O1_single_fullk_K100_seed1_300k,Objective-first single-side baseline control,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,single_baseline,300k_objective_screen,no,Objective-first baseline for single-side comparisons,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_fullk_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_fullk_K100_seed1_300k_20260417_134848/eval,6996768.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P2_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,2,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_uniform_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_uniform_K100_seed1_300k_20260417_134848/eval,6996769.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P2_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,2,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P2_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_deep_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_deep_K100_seed1_300k_20260417_134848/eval,6996770.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P4_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,4,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_uniform_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_uniform_K100_seed1_300k_20260417_134848/eval,6996771.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P4_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,4,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P4_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_deep_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P4_deep_K100_seed1_300k_20260417_134848/eval,6996772.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P8_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,8,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-21T22:33:03Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/eval,7096199.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P8_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,8,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,16:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P8_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-15T15:26:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_deep_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_deep_K100_seed1_300k_20260417_134848/eval,7090260.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P16_uniform_K100_seed1_300k,Objective-first single emulation P sweep with uniform weighting,single_pipe_emul,1,16,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_uniform,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-15T15:26:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_uniform_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_uniform_K100_seed1_300k_20260417_134848/eval,7090261.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O1,O1,O1_single_pipe_emul_P16_deep_K100_seed1_300k,Objective-first single emulation P sweep with deep-only weighting,single_pipe_emul,1,16,100,300000,1e-4,1.0,deep_only,0.01,1,1,1,5000,yes,preemptable,24:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,P16_deep,objective_emulation,300k_objective_screen,no,Single-side P sweep candidate,2026-04-15T15:26:55Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_deep_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P16_deep_K100_seed1_300k_20260417_134848/eval,7090262.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
O2,O2,O2_ddp_fullk_K100_seed1_300k,Objective-first multi-GPU baseline control,ddp_fullk,4,1,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,yes,preemptable,12:00:00,02:00:00,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,baseline_k100,ddp_baseline,300k_paired_realization,no,Strict DDP baseline for paired comparisons,2026-04-06T21:48:45Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_ddp_fullk_K100_seed1_300k_20260417_134848,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_ddp_fullk_K100_seed1_300k_20260417_134848/eval,6996773.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
